Number_of_Records;Created_Time;Filter;Image_URL;latitude;Number_of_likes;Link;Location;longitude;number_of_Comments;Tags;Text;Username
1;23/10/2018 12:31;Normal;https://scontent.cdninstagram.com/vp/acc93a17624a89cbeb2c0fbe3a67363c/5C644838/t51.2885-15/e35/s320x320/43060679_1592193087593694_3522552912677115066_n.jpg;0;5;https://www.instagram.com/p/BpRpWtZF3-Y/;;0;0;???????,letrain,????,?????_????,???,?????_???????,accidentes,oncf,??????,???????;"?????? ??
#?????_??????? #??????? #??? #?????? #?????_???? #??????? #????
#oncf #letrain #accidentes";soukainafaiimi
1;23/10/2018 12:16;Ludwig;https://scontent.cdninstagram.com/vp/7f642896c145adeb1ecfd22ce071a3f0/5C6AB242/t51.2885-15/e35/s320x320/43913522_2712636998960984_1100718860993058262_n.jpg;0;44;https://www.instagram.com/p/BpRnnr1AAY6/;;0;2;couleur,ausoleil,train,quai,lillemaville,oujdamaville,roulant,enballade,picoftheday,maroc,color,oujda,igersoujda,oncf;"Oujda 2018
#oujda #maroc #train #oncf #enballade #quai #roulant #color #couleur #ausoleil #picoftheday #lillemaville #igersoujda #oujdamaville";chmirek
1;22/10/2018 22:15;Clarendon;https://scontent.cdninstagram.com/vp/b23336b2386c1fb80a855301efdb9bd7/5BD6256B/t51.2885-15/e15/s320x320/43129892_390301841508437_4990148429721254187_n.jpg;0;6;https://www.instagram.com/p/BpQHU2Rns3U/;;0;0;???????,oncf;"?????? ???? ??? ???? ??? ????? ?? ?????? ? ?????? ?????? ??? ??????? ????? ?? ??????????? ????
#ONCF
#???????";pasrody
1;22/10/2018 12:28;Normal;https://scontent.cdninstagram.com/vp/46e2b2ad0f00c3efaa2d770b73408109/5C880BCB/t51.2885-15/e35/s320x320/43371545_881761705352257_7943233714494621214_n.jpg;0;17;https://www.instagram.com/p/BpPEOffgbQt/;;0;1;raysi?ma?,morocco,oncf,fas;"Geçti?imiz hafta #Fas’ta meydana gelen tren kazas?ndan dolay? büyük üzüntü duyuyoruz. RAYS?MA? olarak ba?ta kazadan etkilenen aileler olmak üzere tüm Fas halk?na içten ba?sa?l??? ve kazada yaralananlara acil ?ifalar diliyoruz.
#RAYS?MA? #ONCF #Morocco 
@groupe_oncf";trraysimas
1;22/10/2018 02:36;Gingham;https://scontent.cdninstagram.com/vp/fbd55c66305a712849e6990c9c0911b4/5C7F2B15/t51.2885-15/e35/s320x320/42851024_2254689134541242_529534846546962200_n.jpg;33,595538;34;https://www.instagram.com/p/BpOAbf3Hk95/;Casablanca, Morocco;-7,61446;2;happy,friendship,hair,mars,stone,casa,oncf,gooday,bleu,marocaine????,peace,travel,home,sea,football,sportive,art,feash,liverpool,style,autumn,sky,canada,relax,paris,love;#casa #oncf #sportive #friendship #sea #feash #sky #bleu #marocaine???? #stone #autumn #love #football #happy #gooday #art #canada #mars #paris #peace #hair #style #liverpool #home #relax #travel;khalidtiger10
1;20/10/2018 20:21;Normal;https://scontent.cdninstagram.com/vp/3417ce50cd4d69669fbffd8784a4d3ed/5C6A7B03/t51.2885-15/e35/s320x320/43023157_279963135972133_3494988243994718877_n.jpg;0;28;https://www.instagram.com/p/BpKwvykF4gK/;;0;3;c4d,vray,oncf,3d;#3D #C4D #VRAY #ONCF;abdelhaq_azzi
1;21/10/2018 19:12;Normal;https://scontent.cdninstagram.com/vp/9f991e0d0fa288e8880baa240d0a2375/5C6D64AD/t51.2885-15/e35/s320x320/43778513_278469716120131_8622852601492876459_n.jpg;31,63063339;524;https://www.instagram.com/p/BpNNknElzew/;Gare De Marrakech;-8,017053008;7;igtravel,reiselust,garedemarrakech,instatravel,beautifulplaces,visit_marrakesh,instapassport,oncf,visitmorocco,marrakesch,mytravelgram,travel,architecture,instamoments,sonyalpha,keepexploring,sonya7riii,getlost,marrakesh,passionpassport,morocco,marrakech,visitmarrakech,travelphotography,exploretheglobe,moroccotravel;"Gare De Marrakesh (Marrakesh Central Station)
---
#garedemarrakech
#ONCF
#marrakesh
#marrakech
#marrakesch
#morocco
#moroccotravel 
#visit_marrakesh 
#visitmarrakech
#visitmorocco 
#beautifulplaces
#exploretheglobe
#getlost
#igtravel
#instamoments
#instapassport
#instatravel
#keepexploring
#mytravelgram
#passionpassport
#reiselust
#travel
#travelphotography
#sonyalpha
#sonya7riii
#architecture
@groupe_oncf
@visit_marrakesh
@visit_morocco_
@visitmarrakechofficial";andreas_mariotti
1;21/10/2018 18:21;Normal;https://scontent.cdninstagram.com/vp/a7e8cb370626c7f09059da86788ae378/5C505691/t51.2885-15/e35/s320x320/43985586_362746741137300_5890649254255726600_n.jpg;0;208;https://www.instagram.com/p/BpNH04cjtR_/;;0;1;training,c,oncf,10,tour,lifestyle,ma;#oncf #lifestyle #10 #tour #ma #c #training;ichraqmz
1;21/10/2018 13:44;Normal;https://scontent.cdninstagram.com/vp/0f6e003f418d2f5d56a470af06a113d6/5C811D4A/t51.2885-15/e35/s320x320/43462016_346110679551033_6178669420682691266_n.jpg;0;61;https://www.instagram.com/p/BpMoIg0De7n/;;0;1;ctm,oncf,histoire,ona,car,maroc,morocco;"Histoire - ????????????En 1912, après la signature du traité de protectorat à Fès (ancienne capitale du Maroc) et l'abdication du Sultan Moulay Hafid, c'est Lyautey qui reprend la gestion du protectorat. 
Le Sultan Moulay Hafid a dû s'exiler du Maroc, c'est en France qu'il trouva son refuge (ainsi que son décès à Enghien-Les-Bains en 1937). Arrivé en septembre 1912 à Vichy, c'est lui qui s'occupa du transport de l'ex-Sultan et de sa suite. 
Dans le développement et la construction du Maroc moderne, Hubert Lyautey sollicita d'une part le gouvernement français pour l'inviter à investir dans des infrastructures au Maroc (rail, ports, routes, écoles, hôpitaux etc.) et s'intéressa aussi aux figures de la bourgeoisie française au moment de la naissance du capitalisme français. Ainsi, pour la bourgeoisie française, le Maroc paraissait comme un Texas aux portes de la France. 
Ainsi Lyautey invita Jean Epinat (industriel français né en 1877, il s'installa au Maroc en 1919) à réfléchir et étudier un programme de transports en commun pour le Maroc. 
Epinat proposa ainsi la candidature de son entreprise à  adjudication publique, pour équiper le Maroc avec des transports en commun. 
C'est en 1919, qu'Epinat et ses associés ont créer la Compagnie Général de Transport et de Tourisme (CGTT ou CTM). Jean Epinat était loin de se douter qu'il allait devenir le premier transporteur au Maroc et mieux encore que par la création de l'ONA il allait en faire le premier groupe industriel et financier privé du Maroc. 
Il céda ses parts de l'ONA à la Banque de Paris et des Pays-Bas (BNP Paribas), que finalement la famille royale marocaine décida de racheter l'ONA et d'en faire un groupe marocain. 
Quant à CTM, aujourd'hui, elle est le premier transporter routier au Maroc et indépendante de l'ONA.

#Maroc #Morocco #CTM #ONCF #Car #Histoire #ONA";discovery_moroccofr
1;21/10/2018 12:26;Normal;https://scontent.cdninstagram.com/vp/9477cc7083b96327f0fc4248da1226d4/5C87D056/t51.2885-15/e35/p320x320/43914185_316433492245493_4150679983637455220_n.jpg;0;25;https://www.instagram.com/p/BpMfGykFqNq/;;0;2;oncf;"#oncf katrj3 lzaman ljamil w yamat 3wita ????????
Wlad 2000 hahowa lbon bach kat9t3 blays ??????";loukilihz
